timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles
1465232388.073705,0.000197,0,           0,           0,           1,      100000,4805,1115124,1028916,16,4919,110592184,136928,573,110591716,9,4,0,4,21,9,0,0,0,0,0,4
1465232388.174007,0.000225,0,           0,           0,           1,      100000,4805,1116850,1028916,16,4920,110592208,137152,573,110591716,10,4,0,4,25,9,0,0,0,0,0,4
1465232388.274556,0.000466,0,         107,           2,           5,      127000,4914,1117457,1028916,16,5138,115578312,142584,590,112860560,10,4,0,4,25,9,0,0,0,0,0,4
1465232388.374819,0.000190,0,           0,           0,           5,      200000,5205,1117530,1028916,16,5322,119803456,147200,620,119803104,10,4,0,4,25,9,0,0,0,0,0,4
1465232388.475080,0.000187,0,           0,           0,           0,           0,5205,1119278,1028917,16,5323,119803480,147424,620,119803104,10,4,0,4,25,10,0,0,0,0,0,4
1465232388.575325,0.000171,0,           0,           0,           0,           0,5205,1121016,1028917,16,5324,119803504,147648,620,119803104,10,4,0,4,25,10,0,0,0,0,0,4
1465232388.675620,0.000225,0,           0,           0,           0,           0,5205,1122746,1028917,16,5325,119803528,147872,620,119803104,10,4,0,4,25,10,0,0,0,0,0,4
1465232388.775871,0.000179,0,           0,           0,           0,           0,5205,1124474,1028917,16,5326,119803552,148096,620,119803104,10,4,0,4,25,10,0,0,0,0,0,4
1465232388.876074,0.000133,0,          77,           1,           1,       34500,5345,1125066,1028917,16,5545,124801688,153552,640,122900968,10,4,0,4,25,10,0,0,0,0,0,4
1465232388.976285,0.000138,0,           0,           5,           1,       99945,5604,1125097,1028917,20,5732,129014896,158324,671,128578012,10,4,0,4,25,10,0,0,0,0,0,4
1465232389.076477,0.000153,0,           0,           0,           1,      100000,5605,1126741,1028917,20,5733,129014920,158548,673,129014516,10,4,0,4,25,10,0,0,0,0,0,4
1465232389.176901,0.000308,0,           0,           0,           1,      100000,5605,1128481,1028917,20,5734,129014944,158772,673,129014516,11,4,0,4,29,10,0,0,0,0,0,4
1465232389.277097,0.000123,0,           0,           0,           1,      100000,5605,1130238,1028917,20,5735,129014968,158996,673,129014516,11,4,0,4,29,10,0,0,0,0,0,4
1465232389.377290,0.000165,0,           0,           0,           1,      100000,5605,1131993,1028917,20,5736,129014992,159220,673,129014516,11,4,0,4,29,10,0,0,0,0,0,4
1465232389.479282,0.001921,0,          20,           2,           4,       24832,5713,1132687,1028918,20,5866,131952640,162540,689,131249332,11,4,0,4,29,11,0,0,0,0,0,4
1465232389.579427,0.000116,0,           7,           4,           4,       77497,5925,1132718,1028918,20,6066,136568224,167540,720,136097368,11,4,0,4,29,11,0,0,0,0,0,4
1465232389.679694,0.000194,0,           0,           0,           4,       98000,6005,1133869,1028918,20,6139,138226264,169492,730,138225944,11,4,0,4,29,11,0,0,0,0,0,4
1465232389.779964,0.000197,0,           0,           0,           4,       98000,6005,1135595,1028918,20,6140,138226288,169716,730,138225944,11,4,0,4,29,11,0,0,0,0,0,4
1465232389.880256,0.000217,0,           0,           0,           4,       98000,6005,1137301,1028918,20,6141,138226312,169940,730,138225944,12,4,0,4,30,11,0,0,0,0,0,4
1465232389.980505,0.000183,0,           0,           0,           4,       98000,6005,1139053,1028918,20,6142,138226336,170164,730,138225944,12,4,0,4,30,11,0,0,0,0,0,4
1465232390.080935,0.000353,0,           0,           0,           4,       98000,6005,1140818,1028918,20,6143,138226360,170388,730,138225944,12,4,0,4,30,11,0,0,0,0,0,4
1465232390.181755,0.000768,0,         102,           2,           5,      152000,6222,1140944,1028918,20,6464,145595344,178292,760,142993896,12,4,0,4,30,11,0,0,0,0,0,4
1465232390.281997,0.000187,0,           0,           0,           1,       45000,6405,1141203,1028919,20,6545,147437608,180436,787,147437372,12,4,0,4,30,12,0,0,0,0,0,4
1465232390.382230,0.000161,0,           0,           0,           1,       45000,6405,1142948,1028919,20,6546,147437632,180660,787,147437372,12,4,0,4,30,12,0,0,0,0,0,4
